Probe_Set_ID	Lsmean_ A _expanding	Lsmean_ A_fullexpand	Lsmean_A_primordia	Lsmean_ E_expanding	Lsmean_ E_fullexpand	Lsmean_E_primordia
245329_at	0.822591	1.807251	-3.55176	2.145671	2.664551	-2.11035
245330_at	-0.26335	-0.203	0.205566	-0.22575	-0.40967	0.175049
245331_at	0.82487	1.671509	0.072021	0.717936	1.473145	0.057373
245332_at	1.062826	1.289185	0.486572	0.962728	1.383789	0.674316
245333_at	1.212565	1.603638	1.346191	1.408691	1.801758	1.355225
245334_at	2.269206	2.995728	0.911865	2.521973	3.04541	0.848389
245336_at	-0.64518	-1.34631	-1.02148	-0.743	-1.98608	-1.25806
245337_at	-0.60449	-0.39807	-1.09497	-0.59424	-0.26611	-1.15552
245338_at	0.133464	-0.06433	1.006348	-0.10465	-0.38403	0.970947
245339_at	-1.10221	-1.62195	-0.66382	-1.48356	-1.47412	-0.82495
245340_at	1.482096	1.340942	2.621094	1.560384	1.615723	2.576416
245341_at	-1.22461	-0.96765	-0.90942	-1.507	-0.98511	-0.88696
245342_at	4.247721	3.613403	4.789551	3.918457	3.653809	4.812744
245344_at	0.194661	0.328491	0.080811	0.247559	0.343018	-0.10205
245346_at	4.183919	4.80481	2.130371	4.378092	4.891602	2.24585
245347_at	3.465169	3.193481	2.713867	3.484212	3.159668	2.763916
245348_at	-0.23893	-0.10925	-0.31812	-0.19482	-0.28882	-0.38892
245349_at	0.180013	0.505249	-1.37329	0.181803	0.44165	-1.62256
245350_at	1.999674	2.116333	1.902344	2.02653	1.941895	1.86792
245351_at	1.505534	1.942017	1.551758	1.388509	2.000977	1.546143
245352_at	-2.12435	-1.20203	-3.02393	-2.70101	-1.36743	-2.95227
245354_at	4.032878	3.621704	3.300293	3.927572	3.516113	3.35376
245355_at	4.466471	3.422485	4.994629	4.087077	3.380859	4.970459
245356_at	4.717122	4.424927	4.885254	4.643066	4.443359	4.835205
245357_at	3.826497	3.026489	3.510742	3.54541	2.753906	3.483154
245358_at	0.442383	0.288208	0.853027	0.295736	0.066895	0.873291
245359_at	0.400716	0.485474	0.696777	0.481283	0.772461	0.776123
245360_at	0.356771	1.184204	-0.1687	0.643066	1.36377	-0.18262
245361_at	-0.37077	0.045044	-0.07812	-0.34424	-0.198	-0.11157
245362_at	-0.1849	-1.20642	-1.32251	-0.38851	-1.32007	-1.68384
245364_at	-0.64714	-0.77844	0.467041	-0.8042	-0.552	0.598145
245365_at	-0.12207	0.175903	0.526123	0.068848	0.524902	0.55957
245366_at	0.112956	0.157837	0.217041	0.119629	0.2229	0.314453
245367_at	-0.29915	-1.10315	0.210449	-0.60173	-0.84131	0.337402
245368_at	1.222982	0.982544	0.533691	0.924642	0.699463	0.651123
245370_at	-1.72754	-1.02478	-1.46216	-1.50439	-0.92944	-1.59351
245372_at	3.619466	2.55481	4.608887	3.33252	2.722168	4.688721
245373_s_at	2.652669	3.232056	1.996094	2.822754	3.45752	1.970459
245374_at	0.712891	0.644409	0.807129	0.760579	0.581787	0.995361
245383_at	-0.42806	-0.44226	-1.48535	-0.8501	-1.2373	-0.95703
245384_at	-2.60905	-2.05872	-4.11829	-2.2889	-2.00024	-4.61279
245386_at	-0.2793	-0.55237	0.000244	-0.1665	-1.04248	-0.08618
245387_at	2.032227	1.198364	2.654297	1.760905	1.269531	2.71167
245388_at	3.472331	3.358032	2.696289	3.367025	3.219727	2.724854
245390_at	-0.15299	-0.18347	-0.41675	-0.25114	-0.0647	-0.33545
245391_at	2.53418	3.392212	1.796875	2.803223	3.450195	1.667725
245394_at	3.694336	3.180298	3.715332	3.570801	3.26123	3.732666
245395_at	-0.5	-0.41052	-0.14087	-0.33773	-0.02466	-0.15186
245396_at	2.140299	1.845337	1.669922	2.021322	1.614746	1.718994
245398_at	-1.25358	-1.6825	-0.99048	-1.41162	-1.68188	-1.14453
245399_at	1.046549	2.661255	-0.99316	1.189941	2.975098	-1.32813
245400_at	3.839518	3.671021	3.79541	3.819499	3.537598	3.906494
245401_at	-0.03353	-0.24304	-0.85767	0.639811	0.119141	-0.89478
245404_at	-1.0319	-1.92029	-0.26489	-1.243	-1.76636	-0.14941
245405_at	-0.9847	-1.38538	-1.05884	-1.24593	-1.23047	-0.95386
245407_at	1.976237	2.566528	0.843262	2.117025	2.591309	0.819336
245408_at	-1.22396	-1.50208	-0.96045	-1.39665	-1.62793	-0.93237
245413_at	1.612956	0.80481	0.727051	1.378743	0.570801	1.007324
245414_at	-1.91634	-1.23059	-1.85425	-1.78337	-0.97632	-1.76221
245415_at	1.752279	1.588013	1.770508	1.578613	1.449707	1.847412
245416_at	-1.30436	0.063354	-2.79077	-0.90902	0.121338	-2.97656
245418_at	0.295247	0.958618	-0.69116	0.352376	0.791748	-0.67139
245421_at	-1.2946	-1.28479	-0.81787	-1.33643	-1.14868	-1.0271
245425_at	0.273438	-0.03015	0.807373	0.099447	-0.11401	0.895752
245426_at	0.073893	-0.53064	0.561523	-0.229	-0.79785	0.660645
245428_at	-0.4668	-0.10803	-1.21924	-0.15088	-0.01416	-1.15674
245430_at	-0.75	-0.78479	-0.2876	-0.896	-0.88965	-0.40771
245431_at	-0.16439	-0.03015	-0.57031	-0.01969	0.140869	-0.48999
245432_at	0.42513	0.143677	1.021484	0.323079	0.445557	0.916748
245433_at	1.20931	1.089966	0.721436	0.960449	0.825439	0.641602
245434_at	-2.26725	-2.17761	-2.45142	-2.25635	-2.17065	-2.4707
245437_at	-1.65234	-2.05896	-0.00049	-1.67301	-1.91064	-0.03589
245438_at	-0.71094	-1.27722	-0.75684	-0.73258	-1.43433	-0.69995
245442_at	-0.01953	0.495972	-0.18457	0.027181	0.509033	-0.27124
245446_at	-0.04167	-0.32434	0.642822	-0.2417	-0.41602	0.781494
245448_at	1.022786	1.007446	-1.08398	1.38916	1.312012	-1.02783
245451_at	0.480469	-0.04456	-1.17334	0.350098	-0.02881	-1.12915
245456_at	1.715169	1.97522	0.355225	1.981608	1.938477	0.222412
245459_at	-2.36263	-2.70251	-3.16797	-2.54508	-3.21387	-3.32483
245460_at	-0.08822	-0.09729	-1.90625	0.104004	0.141113	-1.93701
245463_at	1.166992	0.775757	-3.23218	1.294759	0.584229	-3.32751
245474_at	0.803711	0.959106	0.637939	0.696126	0.983154	0.577148
245477_at	-2.39974	-2.12024	-2.39307	-2.29313	-2.29858	-2.53174
245478_at	0.064128	0.088745	-0.21851	0.137207	0.025879	-0.07544
245479_at	0.61556	-1.09045	0.868408	0.218913	-1.41724	0.85083
245481_at	0.39681	0.581909	0.571289	0.315267	0.390869	0.561768
245483_at	3.427409	4.291626	1.766602	3.61377	4.319824	1.52417
245484_at	-0.22819	0.026978	-0.52612	-0.23421	0.41626	-0.54761
245487_at	-1.00423	-1.17029	-1.00391	-1.02783	-1.02441	-1.01587
245492_at	-0.43066	-0.85193	-0.09595	-0.28825	-1.18628	-0.04346
245494_at	2.404622	1.72229	2.726563	2.08252	1.55957	2.834229
